window_id,aliases,fingerprint,reference_label,label_quality,regime,match_status,review_groups,unknown_cause,trend_structure,range_detected,breakout_status,breakout_direction,returned_to_range,hypotheses,missing_confirmations,trap_range_score_delta,verdict,rationale
ethusdt_15m_down_001,eth_15m_expected_down_001;ethusdt_15m_down_001,ETHUSDT|15m|2026-02-05T00:00:00+00:00|2026-02-05T23:45:00+00:00,EXPECTED_DOWN,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_DOWN_UNKNOWN,NO_HYPOTHESES,SIDEWAYS_STRUCTURE,False,NO_BREAKOUT,NONE,False,,NO_CAUSAL_SCENARIO_FORMED,,INSUFFICIENT_CONTEXT,"The 96-candle input formed no continuation, reversal, range, or trap hypothesis; the label alone cannot authorize a regime."
ethusdt_15m_down_002,ethusdt_15m_down_002,ETHUSDT|15m|2025-03-03T00:00:00+00:00|2025-03-03T23:45:00+00:00,EXPECTED_DOWN,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_DOWN_UNKNOWN,NO_HYPOTHESES,SIDEWAYS_STRUCTURE,False,NO_BREAKOUT,NONE,False,,NO_CAUSAL_SCENARIO_FORMED,,INSUFFICIENT_CONTEXT,"The 96-candle input formed no continuation, reversal, range, or trap hypothesis; the label alone cannot authorize a regime."
ethusdt_15m_down_003,ethusdt_15m_down_003,ETHUSDT|15m|2025-04-06T00:00:00+00:00|2025-04-06T23:45:00+00:00,EXPECTED_DOWN,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_DOWN_UNKNOWN,PENDING_PLUS_CONFLICTED_NO_CONFIRMED,SIDEWAYS_STRUCTURE,True,CONFIRMED,DOWNWARD,False,DOWN_CONTINUATION:PENDING:0.250;CONFIRMED_RANGE:CONFLICTED:0.608,ALIGNED_STRUCTURE_OR_CONFIRMED_CONTINUATION_EVENT;CONFIRMED_BREAKOUT_PREVENTS_RANGE_CONFIRMATION,,EXPECTED_CAUTION,The available scenario remains pending or conflicted and therefore correctly cannot select a regime under the current contract.
ethusdt_15m_up_001,eth_15m_expected_up_001;ethusdt_15m_up_001,ETHUSDT|15m|2025-05-08T00:00:00+00:00|2025-05-08T23:45:00+00:00,EXPECTED_UP,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_UP_UNKNOWN,NO_HYPOTHESES,SIDEWAYS_STRUCTURE,False,NO_BREAKOUT,NONE,False,,NO_CAUSAL_SCENARIO_FORMED,,INSUFFICIENT_CONTEXT,"The 96-candle input formed no continuation, reversal, range, or trap hypothesis; the label alone cannot authorize a regime."
ethusdt_15m_up_002,ethusdt_15m_up_002,ETHUSDT|15m|2025-08-22T00:00:00+00:00|2025-08-22T23:45:00+00:00,EXPECTED_UP,DETERMINISTIC_OHLC_PROXY,FLAT,NEEDS_REVIEW,NEEDS_REVIEW;TRAP_VS_RANGE,,SIDEWAYS_STRUCTURE,True,FALSE_BREAKOUT,DOWNWARD,True,CONFIRMED_RANGE:CONFIRMED:0.715;BEAR_TRAP:CONFIRMED:0.700,,0.015000000000000124,PRIORITY_ISSUE,Confirmed trap and confirmed range differ by less than the dominance margin; post-return continuation is not represented.
ethusdt_15m_up_003,ethusdt_15m_up_003,ETHUSDT|15m|2025-03-02T00:00:00+00:00|2025-03-02T23:45:00+00:00,EXPECTED_UP,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_UP_UNKNOWN,PENDING_PLUS_CONFLICTED_NO_CONFIRMED,SIDEWAYS_STRUCTURE,True,CONFIRMED,UPWARD,False,UP_CONTINUATION:PENDING:0.250;CONFIRMED_RANGE:CONFLICTED:0.554,ALIGNED_STRUCTURE_OR_CONFIRMED_CONTINUATION_EVENT;CONFIRMED_BREAKOUT_PREVENTS_RANGE_CONFIRMATION,,EXPECTED_CAUTION,The available scenario remains pending or conflicted and therefore correctly cannot select a regime under the current contract.
ethusdt_15m_up_004,ethusdt_15m_up_004,ETHUSDT|15m|2025-04-09T00:00:00+00:00|2025-04-09T23:45:00+00:00,EXPECTED_UP,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_UP_UNKNOWN,NO_HYPOTHESES,SIDEWAYS_STRUCTURE,False,NO_BREAKOUT,NONE,False,,NO_CAUSAL_SCENARIO_FORMED,,INSUFFICIENT_CONTEXT,"The 96-candle input formed no continuation, reversal, range, or trap hypothesis; the label alone cannot authorize a regime."
solusdt_15m_down_001,sol_15m_expected_down_001;solusdt_15m_down_001,SOLUSDT|15m|2025-03-03T00:00:00+00:00|2025-03-03T23:45:00+00:00,EXPECTED_DOWN,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_DOWN_UNKNOWN,ONLY_PENDING_NO_CONFIRMED,SIDEWAYS_STRUCTURE,False,NO_BREAKOUT,NONE,False,BULLISH_REVERSAL:PENDING:0.350,PATTERN_FOLLOW_THROUGH,,EXPECTED_CAUTION,The available scenario remains pending or conflicted and therefore correctly cannot select a regime under the current contract.
solusdt_15m_down_002,solusdt_15m_down_002,SOLUSDT|15m|2025-02-24T00:00:00+00:00|2025-02-24T23:45:00+00:00,EXPECTED_DOWN,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_DOWN_UNKNOWN,NO_HYPOTHESES,SIDEWAYS_STRUCTURE,False,NO_BREAKOUT,NONE,False,,NO_CAUSAL_SCENARIO_FORMED,,INSUFFICIENT_CONTEXT,"The 96-candle input formed no continuation, reversal, range, or trap hypothesis; the label alone cannot authorize a regime."
solusdt_15m_down_003,solusdt_15m_down_003,SOLUSDT|15m|2026-02-05T00:00:00+00:00|2026-02-05T23:45:00+00:00,EXPECTED_DOWN,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_DOWN_UNKNOWN,PENDING_PLUS_CONFLICTED_NO_CONFIRMED,SIDEWAYS_STRUCTURE,True,CONFIRMED,DOWNWARD,False,DOWN_CONTINUATION:PENDING:0.350;CONFIRMED_RANGE:CONFLICTED:0.602,ALIGNED_STRUCTURE_OR_CONFIRMED_CONTINUATION_EVENT;CONFIRMED_BREAKOUT_PREVENTS_RANGE_CONFIRMATION,,EXPECTED_CAUTION,The available scenario remains pending or conflicted and therefore correctly cannot select a regime under the current contract.
solusdt_15m_up_001,sol_15m_expected_up_001;solusdt_15m_up_001,SOLUSDT|15m|2025-03-02T00:00:00+00:00|2025-03-02T23:45:00+00:00,EXPECTED_UP,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_UP_UNKNOWN,PENDING_PLUS_CONFLICTED_NO_CONFIRMED,SIDEWAYS_STRUCTURE,True,CONFIRMED,DOWNWARD,False,DOWN_CONTINUATION:PENDING:0.200;CONFIRMED_RANGE:CONFLICTED:0.601,ALIGNED_STRUCTURE_OR_CONFIRMED_CONTINUATION_EVENT;CONFIRMED_BREAKOUT_PREVENTS_RANGE_CONFIRMATION,,EXPECTED_CAUTION,The available scenario remains pending or conflicted and therefore correctly cannot select a regime under the current contract.
solusdt_15m_up_004,solusdt_15m_up_004,SOLUSDT|15m|2025-05-08T00:00:00+00:00|2025-05-08T23:45:00+00:00,EXPECTED_UP,DETERMINISTIC_OHLC_PROXY,UNKNOWN,QUESTIONABLE_UNKNOWN,EXPECTED_UP_UNKNOWN,PENDING_PLUS_CONFLICTED_NO_CONFIRMED,SIDEWAYS_STRUCTURE,True,CONFIRMED,UPWARD,False,UP_CONTINUATION:PENDING:0.200;CONFIRMED_RANGE:CONFLICTED:0.556,ALIGNED_STRUCTURE_OR_CONFIRMED_CONTINUATION_EVENT;CONFIRMED_BREAKOUT_PREVENTS_RANGE_CONFIRMATION,,EXPECTED_CAUTION,The available scenario remains pending or conflicted and therefore correctly cannot select a regime under the current contract.
