window_id,symbol,reference_label,old_regime,new_regime,confidence,match_status,confirmed,pending,invalidated,cancelled,conflicted,selected_hypothesis
solusdt_15m_recent_baseline_001,SOLUSDT,RECENT_BASELINE,UNKNOWN,UNKNOWN,0.25,ACCEPTABLE_UNKNOWN,0,1,0,0,1,
ethusdt_15m_up_001,ETHUSDT,EXPECTED_UP,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,0,0,0,0,
ethusdt_15m_down_001,ETHUSDT,EXPECTED_DOWN,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,0,0,0,0,
ethusdt_15m_flat_001,ETHUSDT,EXPECTED_FLAT,UNKNOWN,FLAT,0.4370967741935484,MATCH,1,0,0,0,0,CONFIRMED_RANGE
ethusdt_15m_mixed_001,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,0,0,0,0,
ethusdt_15m_high_volatility_chop_001,ETHUSDT,HIGH_VOLATILITY_CHOP,UNKNOWN,UNKNOWN,0.25,ACCEPTABLE_UNKNOWN,0,0,0,0,0,
ethusdt_15m_up_002,ETHUSDT,EXPECTED_UP,UNKNOWN,FLAT,0.4650000000000001,NEEDS_REVIEW,2,0,0,0,0,CONFIRMED_RANGE
ethusdt_15m_down_002,ETHUSDT,EXPECTED_DOWN,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,0,0,0,0,
ethusdt_15m_flat_002,ETHUSDT,EXPECTED_FLAT,UNKNOWN,FLAT,0.7166666666666667,MATCH,1,0,0,0,0,CONFIRMED_RANGE
ethusdt_15m_mixed_002,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,1,0,0,1,
ethusdt_15m_up_003,ETHUSDT,EXPECTED_UP,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,1,0,0,1,
ethusdt_15m_down_003,ETHUSDT,EXPECTED_DOWN,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,1,0,0,1,
ethusdt_15m_flat_003,ETHUSDT,EXPECTED_FLAT,UNKNOWN,FLAT,0.7077380952380953,MATCH,1,0,0,0,0,CONFIRMED_RANGE
ethusdt_15m_mixed_003,ETHUSDT,EXPECTED_UNKNOWN_OR_MIXED,UNKNOWN,UNKNOWN,0.25,MATCH,0,0,0,0,0,
ethusdt_15m_up_004,ETHUSDT,EXPECTED_UP,UNKNOWN,UNKNOWN,0.25,QUESTIONABLE_UNKNOWN,0,0,0,0,0,
ethusdt_15m_recent_baseline_001,ETHUSDT,RECENT_BASELINE,UNKNOWN,UNKNOWN,0.25,ACCEPTABLE_UNKNOWN,0,1,0,0,1,
